dimension,length,is_valid,method,fitness,computation_time_seconds,computation_time_hours,known_record,matches_known
1,1,True,generated,0,4.410743713378906e-05,1.2252065870496961e-08,,False
2,3,True,generated,0,5.459785461425781e-05,1.5166070726182724e-08,,False
3,4,True,generated,0,4.363059997558594e-05,1.2119611104329427e-08,4,False
4,7,True,generated,0,5.698204040527344e-05,1.58283445570204e-08,7,False
5,12,True,generated,0,8.606910705566406e-05,2.3908085293240016e-08,13,False
6,21,True,generated,0,0.0001475811004638672,4.0994750128852e-08,26,False
7,28,True,generated,0,0.000301361083984375,8.371141221788194e-08,50,False
8,36,True,generated,0,0.0006058216094970703,1.6828378041585286e-07,97,False
9,190,True,generated,0,0.0011916160583496094,3.310044606526693e-07,188,False
10,373,True,generated,0,0.012547731399536133,3.4854809443155924e-06,373,False
11,732,True,generated,0,0.025542259216308594,7.095072004530165e-06,732,False
12,1439,True,generated,0,0.05266237258911133,1.4628436830308702e-05,1439,False
13,2854,True,generated,0,0.1095421314239502,3.0428369839986165e-05,2854,False
